Nombre,Descripción,Dirección,Código Postal,Ciudad,Sitio Web,Email,Logo URL
Snouts Repostería Canina,Pastelería canina confirmada. Elaboran artesanalmente repostería y snacks 100% naturales para perros.,"C/ Lepanto, 339",08025,Barcelona,https://www.snouts.es/,info@snouts.es,https://www.snouts.es/images/2.5-.80LOGO-PRINCIPALARRIBA2.png
Naturlove. Pet food,"Somos una tienda especializada en alimentación natural para mascotas
¡Bienvenido a Naturlove, tu destino de confianza para alimentos naturales y cuidado de mascotas en el corazón del barrio de Eixample en Barcelona!

En Naturlove, entendemos la importancia de ofrecer a tus mascotas alimentos naturales y libres de aditivos nocivos. Es por eso que nos esforzamos por ofrecer una amplia gama de opciones que satisfagan las necesidades nutricionales específicas.","Carrer del Comte Borrell, 17",08015,Barcelona,https://naturlove.pet/,info@naturlove.pet,https://naturlove.pet/wp-content/uploads/2024/02/Logo_Naturlove_centrado.svg
Naturlove. Pet food,"Somos una tienda especializada en alimentación natural para mascotas
¡Bienvenido a Naturlove, tu destino de confianza para alimentos naturales y cuidado de mascotas en el corazón del barrio de Eixample en Barcelona!

En Naturlove, entendemos la importancia de ofrecer a tus mascotas alimentos naturales y libres de aditivos nocivos. Es por eso que nos esforzamos por ofrecer una amplia gama de opciones que satisfagan las necesidades nutricionales específicas.","Carrer de Mallorca, 532",08026,Barcelona,https://naturlove.pet/,info@naturlove.pet,https://naturlove.pet/wp-content/uploads/2024/02/Logo_Naturlove_centrado.svg
Only Raw,"Queremos ser tu referente en la alimentación natural para mascotas
Te asesoramos y acompañamos durante todo el proceso de transición de tu mascota a una dieta natural.
Te aconsejamos sobre productos específicos, accesorios y suplementos.","Carrer del Torrent de l'Olla, 130",8012,Barcelona,http://www.onlyraw.es/,hola@onlyraw.es,https://onlyraw.es/wp-content/uploads/2021/09/logo-Only-Raw.png
Indidogs. Dieta Barf y alimentación para mascotas,"Dieta BARF

El corazón de Indidogs está ocupado por las huellas de nuestros perros. Por ese motivo, hace tiempo decidimos especializarnos en la venta de Dieta B.A.R.F., seleccionando los mejores menús B.A.R.F. y complementos congelados, elaborados con ingredientes reales y de primera calidad. ¡Únete a nosotros con única alimentación real para perros!","Travessera de Gràcia, 216",8024,Barcelona,http://indidogs.com/,indidogs@outlook.es,https://indidogs.com/wp-content/uploads/2022/08/indidogs-logo-header-140x70.png
Canocan,"En nuestra tienda para mascotas encontrarás una amplia variedad de opciones para la alimentación de tu mascota, desde pienso seco hasta comida cocinada y dietas BARF. Nos preocupamos por la salud y el bienestar de tu mascota, por lo que te ofrecemos productos de alta calidad para satisfacer sus necesidades nutricionales. ¡Visítanos y descubre todo lo que tenemos para ofrecerte!","Carrer de Salvà, 27, BAJO 1",8004,Barcelona,https://www.canocanmascotas.es/,canocan@canocanmascotas.es,https://www.canocanmascotas.es/wp-content/uploads/go-x/u/0cacc994-f577-401b-ba3d-039458714cbf/image-160x213.jpg
Naturlove. Pet food,"Somos una tienda especializada en alimentación natural para mascotas
¡Bienvenido a Naturlove, tu destino de confianza para alimentos naturales y cuidado de mascotas en el corazón del barrio de Eixample en Barcelona!

En Naturlove, entendemos la importancia de ofrecer a tus mascotas alimentos naturales y libres de aditivos nocivos. Es por eso que nos esforzamos por ofrecer una amplia gama de opciones que satisfagan las necesidades nutricionales específicas.","Carrer d'Aragó, 361",8009,Barcelona,https://naturlove.pet/,info@naturlove.pet,https://naturlove.pet/wp-content/uploads/2024/02/Logo_Naturlove_centrado.svg
Naturlove. Pet food,"Somos una tienda especializada en alimentación natural para mascotas
¡Bienvenido a Naturlove, tu destino de confianza para alimentos naturales y cuidado de mascotas en el corazón del barrio de Eixample en Barcelona!

En Naturlove, entendemos la importancia de ofrecer a tus mascotas alimentos naturales y libres de aditivos nocivos. Es por eso que nos esforzamos por ofrecer una amplia gama de opciones que satisfagan las necesidades nutricionales específicas.","Carrer de Balmes, 322",8006,Barcelona,https://naturlove.pet/,info@naturlove.pet,https://naturlove.pet/wp-content/uploads/2024/02/Logo_Naturlove_centrado.svg
Naturlove. Pet food,"Somos una tienda especializada en alimentación natural para mascotas
¡Bienvenido a Naturlove, tu destino de confianza para alimentos naturales y cuidado de mascotas en el corazón del barrio de Eixample en Barcelona!

En Naturlove, entendemos la importancia de ofrecer a tus mascotas alimentos naturales y libres de aditivos nocivos. Es por eso que nos esforzamos por ofrecer una amplia gama de opciones que satisfagan las necesidades nutricionales específicas.","Carrer del Consell de Cent, 83",8015,Barcelona,https://naturlove.pet/,info@naturlove.pet,https://naturlove.pet/wp-content/uploads/2024/02/Logo_Naturlove_centrado.svg
CRU Barf,"El devastador problema de la alimentación actual de perros y gatos
Durante miles de años de evolución, perros y gatos han comido siguiendo lo que la madre naturaleza diseñó para ellos, gozando de una vida larga y saludable. Sin embargo, en los últimos 60 años, nos hemos cargado su alimentación y salud a base de piensos de baja calidad y comidas ultra procesadas. Como consecuencia, nuestros peludos han comenzado a padecer alergias, sobrepeso y cáncer.","Carrer de Tordera, 44",8012,Barcelona,http://www.crubarf.com/,hello@crubarf.com,https://crubarf.com/cdn/shop/files/cru_logo_borde.webp?v=1698604688&width=120
